id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid,label
443.0,192.168.1.3,104.98.115.154,udp,13530.0,4252.0,1740119315.526081,CMsACn3HYeRJ24Nlha,59107.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,13530.0,4252.0,1740119973.792368,CDT2OwoQNoVFmY5Te,52539.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,13530.0,4252.0,1740118295.529592,CHR5WB37Ndyo7rudOf,45178.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,13530.0,4252.0,1740118235.513216,CFhp9a30c2x0vom9ab,55025.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,13530.0,4252.0,1740119886.558568,CZLj0B3z255VqLD88a,40839.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,13530.0,4252.0,1740119855.508725,Cdy17L3KeKFkGIp1R2,44355.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,13530.0,4252.0,1740118955.526033,CpfFq042TuXvjHwvof,59525.0,SF,True,False,0.0,IIiishIH,24.0,14786.0,20.0,5300.0,6.0,283.6140179634094,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118220.527564,CWxps73hwYjQI68Yr3,59545.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.0015649795532226562,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740119972.586144,CxzrIbLdlDIn3kcU7,37465.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.0015649795532226562,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740119975.921952,CbbTmUyi9QzEEZcpf,48347.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.0015649795532226562,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,115.0,1740118242.994384,CIw8oY3V9yUWKikvM6,39666.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,143.0,17.0,0.002460002899169922,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,62.0,396.0,1740118632.527205,CwGrrN1kZdWWIQupmk,56612.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,424.0,17.0,0.002399921417236328,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,136.0,1740119675.521169,CBRqMs2G6PaUAru55d,34170.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,164.0,17.0,0.004040956497192383,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,136.0,1740119669.526074,CArpb62oYhfEsMaK52,42696.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,164.0,17.0,0.004040956497192383,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,136.0,1740119905.186111,CbczaE3cBm8yKW9aMc,41180.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,164.0,17.0,0.004040956497192383,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,136.0,1740119720.525301,CsOm9730ygoVxVwutl,33624.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,164.0,17.0,0.004040956497192383,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,13.107.136.10,tcp,5821.0,13473.0,1740118540.318684,Ch5P1Q2Jfhx2Et1P4h,55602.0,RSTR,True,False,0.0,ShADadr,19.0,6601.0,23.0,14405.0,6.0,122.10592889785767,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740118693.526606,C840lp4r9u4r9RZT27,44906.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.002137899398803711,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740119120.525367,CBV7Rm1k9Xbim8TF87,58417.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.0017518997192382812,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118664.854982,Cqb5FG1OjbhbMV7Um9,38333.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.0017518997192382812,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,58.0,418.0,1740118010.52709,ChXDb83wle8fY8hB4,50255.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,446.0,17.0,0.0015368461608886719,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,62.0,396.0,1740119059.526314,CVo0da4WujmtK50Tcj,33684.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,424.0,17.0,0.0019600391387939453,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,62.0,396.0,1740118876.527804,CQmLHQ1VdwU2vlE7K7,42516.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,424.0,17.0,0.0017180442810058594,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,62.0,396.0,1740119973.719595,CAXvZQ3GqWrILevj6a,35407.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,424.0,17.0,0.0017180442810058594,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,13.107.138.10,tcp,12371.0,874506.0,1740118115.763132,Cxc6bl2IziftnR2J42,52688.0,SF,True,False,0.0,ShADadtFf,261.0,22867.0,353.0,888638.0,6.0,127.2825767993927,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,12371.0,874506.0,1740118449.527995,CAEsRNTDWBRb2kmqi,32790.0,SF,True,False,0.0,ShADadtFf,261.0,22867.0,353.0,888638.0,6.0,127.2825767993927,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,12371.0,874506.0,1740119886.562029,C3vzYA2is22bWXvZHa,57953.0,SF,True,False,0.0,ShADadtFf,261.0,22867.0,353.0,888638.0,6.0,127.2825767993927,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,12371.0,874506.0,1740119855.532364,C1vvIT3SGzXU0PPtIk,55421.0,SF,True,False,0.0,ShADadtFf,261.0,22867.0,353.0,888638.0,6.0,127.2825767993927,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,50.0,114.0,1740118664.857283,C4mRnDSPFEXtaJ8g,42041.0,SF,True,True,0.0,Dd,1.0,78.0,1.0,142.0,17.0,0.0011987686157226562,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,13.107.138.10,udp,50.0,114.0,1740118115.921307,CbvjXR2BWniBDcdVHj,54007.0,SF,True,True,0.0,Dd,1.0,78.0,1.0,142.0,17.0,0.0011987686157226562,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,50.0,114.0,1740118388.530689,Cmpq0a3cdHYfKcpdJd,49631.0,SF,True,True,0.0,Dd,1.0,78.0,1.0,142.0,17.0,0.0011987686157226562,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,40.126.24.149,tcp,2644.0,4579.0,1740117962.773772,CXBVLy2t1t7PQj2hZh,46726.0,RSTR,True,False,0.0,ShADadFr,11.0,3104.0,11.0,5031.0,6.0,121.08858704566956,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740119781.509033,Cqj3m8jGkbffD6D93,33658.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.0024480819702148438,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,55.0,198.0,1740118964.867566,Ct09OQ3D0ERjf8Dgga,52203.0,SF,True,True,0.0,Dd,1.0,83.0,1.0,226.0,17.0,0.0019359588623046875,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,55.0,198.0,1740119884.562291,CHguIr4wLWf2lI2LOb,34816.0,SF,True,True,0.0,Dd,1.0,83.0,1.0,226.0,17.0,0.0019359588623046875,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,55.0,198.0,1740118197.534328,ChOCba2wbpaPVES2x2,60893.0,SF,True,True,0.0,Dd,1.0,83.0,1.0,226.0,17.0,0.0019359588623046875,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,74.0,144.0,1740118415.514903,C7pLfx3sy4nvGiQR6a,35594.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,172.0,17.0,0.0017368793487548828,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,76.0,1740117887.962659,CjeCSqZMYCYKGLaH,60660.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,104.0,17.0,0.0008511543273925781,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,76.0,1740119242.524003,CRB7qh2plLhkyxmnXg,40008.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,104.0,17.0,0.0008511543273925781,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,74.0,144.0,1740118535.513753,CdTwus1sVVxAgbeL84,58466.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,172.0,17.0,0.0016391277313232422,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,40.126.24.84,tcp,1.0,0.0,1740117907.123507,C2dPdsVNAmv9LSNo1,46874.0,RSTRH,True,False,0.0,Aar,1.0,40.0,2.0,80.0,6.0,33.686853885650635,8af1ef48d3289058,2336755850007c23,HTTPS
443.0,192.168.1.3,20.189.173.12,tcp,1.0,0.0,1740118085.89523,CrYVd04tlgFq38Gk26,53666.0,RSTRH,True,False,0.0,Aar,1.0,40.0,2.0,80.0,6.0,33.686853885650635,8af1ef48d3289058,2336755850007c23,HTTPS
443.0,192.168.1.3,13.107.42.16,tcp,1.0,0.0,1740119512.910812,Covr9y10CRpyTpgiSg,55814.0,RSTRH,True,False,0.0,Aar,1.0,40.0,2.0,80.0,6.0,33.686853885650635,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740117900.58215,CtvZ6c2dt0YtwVElra,52948.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.002109050750732422,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,63.0,224.0,1740118955.52304,CDSoU13t9CK9yRQbfb,49815.0,SF,True,True,0.0,Dd,1.0,91.0,1.0,252.0,17.0,0.002766847610473633,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,140.82.112.22,udp,63.0,224.0,1740117960.65712,CeMe453ld4JI0zwOtf,53122.0,SF,True,True,0.0,Dd,1.0,91.0,1.0,252.0,17.0,0.002766847610473633,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,63.0,224.0,1740119024.905952,CayB5w364UNnQUCdCa,46903.0,SF,True,True,0.0,Dd,1.0,91.0,1.0,252.0,17.0,0.002766847610473633,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,262.0,1740118835.509262,CWHPdH3IJDs2YJEQ46,34504.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,290.0,17.0,0.002902984619140625,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,53.0,262.0,1740118964.867385,CqQhcB30jtmpUb4bJ4,41611.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,290.0,17.0,0.002902984619140625,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,142.251.16.103,udp,2721.0,3997.0,1740119040.893488,CPl09fUdpOhuIZsyb,37499.0,SF,True,False,0.0,Dd,6.0,2889.0,7.0,4193.0,17.0,0.028558969497680664,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,74.0,144.0,1740118167.508757,CYbL4DuYKFyanzbxg,45014.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,172.0,17.0,0.0017178058624267578,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,74.0,144.0,1740117900.584957,CQwdlIs6e3L173Ev8,50917.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,172.0,17.0,0.0017178058624267578,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,172.253.115.95,udp,74.0,144.0,1740119973.673174,CtHMXn4LW8Bw6t6u8g,57310.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,172.0,17.0,0.0017178058624267578,8af1ef48d3289058,2336755850007c23,HTTPS
443.0,192.168.1.3,216.239.38.181,udp,4146.0,4593.0,1740117959.427903,CBCDKb7OvgSqxqm0i,44171.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.07790708541870117,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118632.530603,CUyhsdmhAXQ0d5znl,55158.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.07790708541870117,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,20.42.65.89,tcp,170297.0,7509.0,1740118244.460225,C5KGL22Czmq4i8dNb5,48260.0,RSTR,True,False,0.0,ShADadr,74.0,174153.0,104.0,12913.0,6.0,157.89861392974854,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,170297.0,7509.0,1740118197.53128,CXGDiD2V5yk56Dhpz,52194.0,RSTR,True,False,0.0,ShADadr,74.0,174153.0,104.0,12913.0,6.0,157.89861392974854,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,170297.0,7509.0,1740119120.530162,Cgg5Qr4VCOqgBdJ0le,48787.0,RSTR,True,False,0.0,ShADadr,74.0,174153.0,104.0,12913.0,6.0,157.89861392974854,8af1ef48d3289058,2336755850007c23,DNS
443.0,192.168.1.3,23.218.218.15,tcp,9987.0,2190.0,1740118964.872141,CiDYwj3Ik5dd7mPcEe,34232.0,SF,True,False,0.0,ShADadfF,41.0,12127.0,42.0,4382.0,6.0,300.2183840274811,8af1ef48d3289058,2336755850007c23,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,9987.0,2190.0,1740117958.649409,CMoQ5O1LWdfyCKfFhl,45822.0,SF,True,False,0.0,ShADadfF,41.0,12127.0,42.0,4382.0,6.0,300.2183840274811,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,9987.0,2190.0,1740119059.529175,C9lYoLyX80IhguZFg,45924.0,SF,True,False,0.0,ShADadfF,41.0,12127.0,42.0,4382.0,6.0,300.2183840274811,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,9987.0,2190.0,1740119781.509033,Cqj3m8jGkbffD6D93,33658.0,SF,True,False,0.0,ShADadfF,41.0,12127.0,42.0,4382.0,6.0,300.2183840274811,8af1ef48d3289058,2336755850007c23,DNS
53.0,192.168.1.3,192.168.1.1,udp,9987.0,2190.0,1740119972.591466,CteTk33gU956FW9pD5,34748.0,SF,True,False,0.0,ShADadfF,41.0,12127.0,42.0,4382.0,6.0,300.2183840274811,8af1ef48d3289058,2336755850007c23,DNS
