id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid,filename,extracted_size,label
80.0,192.168.1.3,91.189.91.82,tcp,232.0,217.0,1740552967.136623,CFJ96l3dJuoNTv93e5,48134.0,SF,False,False,0.0,ShADdFf,6.0,552.0,3.0,381.0,6.0,5.711872100830078,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,HTTP
53.0,192.168.1.3,192.168.1.1,udp,232.0,217.0,1740570810.409336,Cqrj1O25OV5FPwLWdi,43620.0,SF,False,False,0.0,ShADdFf,6.0,552.0,3.0,381.0,6.0,5.711872100830078,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,DNS
443.0,192.168.1.3,69.173.151.100,udp,232.0,217.0,1740513169.627559,CX4KE92RYmKiGNC295,37966.0,SF,False,False,0.0,ShADdFf,6.0,552.0,3.0,381.0,6.0,5.711872100830078,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,232.0,217.0,1740610252.731488,CF2l5C4CvIa7hvYB8,35415.0,SF,False,False,0.0,ShADdFf,6.0,552.0,3.0,381.0,6.0,5.711872100830078,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,DNS
443.0,192.168.1.3,147.135.77.141,udp,232.0,217.0,1740515422.444752,CFJmGE2BTjjdcARuYe,48372.0,SF,False,False,0.0,ShADdFf,6.0,552.0,3.0,381.0,6.0,5.711872100830078,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,HTTPS
443.0,192.168.1.3,151.101.193.229,tcp,2555.0,7669.0,1740567283.330279,C6YR623W5sjMjqPDbk,54630.0,SF,True,False,0.0,ShADadFRRRfR,25.0,3791.0,23.0,8873.0,6.0,177.39489793777466,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,53.0,76.0,1740481200.183181,CY6Uh31LvHmHD1hnzh,41274.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,104.0,17.0,0.0005819797515869141,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,DNS
443.0,192.168.1.3,69.173.146.10,udp,53.0,76.0,1740513527.095715,CxFn5O2byblOzHav09,50408.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,104.0,17.0,0.0005819797515869141,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,HTTPS
53.0,192.168.1.3,192.168.1.1,udp,53.0,76.0,1740510764.1003,CRpCmSnB3fEP5Soxd,37623.0,SF,True,True,0.0,Dd,1.0,81.0,1.0,104.0,17.0,0.0005819797515869141,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,DNS
443.0,192.168.1.3,142.251.16.132,tcp,2764.0,1951.0,1740513168.567448,CkXAl11K3mvc0yMwlc,35654.0,SF,True,False,0.0,ShADadFf,13.0,3448.0,11.0,2531.0,6.0,0.056610107421875,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600.0,HTTPS
