id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid,filename,extracted_size,label
80,192.168.1.3,91.189.91.82,tcp,232,217,1740552967.136623,CFJ96l3dJuoNTv93e5,48134,SF,False,False,0,ShADdFf,6,552,3,381,6,5.7118721008,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTP
53,192.168.1.3,192.168.1.1,udp,232,217,1740570810.409336,Cqrj1O25OV5FPwLWdi,43620,SF,False,False,0,ShADdFf,6,552,3,381,6,5.7118721008,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,69.173.151.100,udp,232,217,1740513169.627559,CX4KE92RYmKiGNC295,37966,SF,False,False,0,ShADdFf,6,552,3,381,6,5.7118721008,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
53,192.168.1.3,192.168.1.1,udp,232,217,1740610252.731488,CF2l5C4CvIa7hvYB8,35415,SF,False,False,0,ShADdFf,6,552,3,381,6,5.7118721008,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,147.135.77.141,udp,232,217,1740515422.444752,CFJmGE2BTjjdcARuYe,48372,SF,False,False,0,ShADdFf,6,552,3,381,6,5.7118721008,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
443,192.168.1.3,151.101.193.229,tcp,2555,7669,1740567283.330279,C6YR623W5sjMjqPDbk,54630,SF,True,False,0,ShADadFRRRfR,25,3791,23,8873,6,177.3948979378,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
53,192.168.1.3,192.168.1.1,udp,53,76,1740481200.183181,CY6Uh31LvHmHD1hnzh,41274,SF,True,True,0,Dd,1,81,1,104,17,0.0005819798,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,69.173.146.10,udp,53,76,1740513527.095715,CxFn5O2byblOzHav09,50408,SF,True,True,0,Dd,1,81,1,104,17,0.0005819798,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
53,192.168.1.3,192.168.1.1,udp,53,76,1740510764.1003,CRpCmSnB3fEP5Soxd,37623,SF,True,True,0,Dd,1,81,1,104,17,0.0005819798,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,142.251.16.132,tcp,2764,1951,1740513168.567448,CkXAl11K3mvc0yMwlc,35654,SF,True,False,0,ShADadFf,13,3448,11,2531,6,0.056610107400000005,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
53,192.168.1.3,192.168.1.1,udp,58,250,1740455290.50825,CZufWS14q0vUaFjfDf,46226,SF,True,True,0,Dd,1,86,1,278,17,0.0007300377,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,23.205.106.71,tcp,2106,4472,1740513161.747236,CB1FFcIyoEzlMbMZh,46544,RSTO,True,False,0,ShADdaFRtR,13,2754,10,5031,6,0.09497308730000001,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
53,192.168.1.3,192.168.1.1,udp,2106,4472,1740435020.526814,CaYFBp2BjaYP9lHRO1,33260,RSTO,True,False,0,ShADdaFRtR,13,2754,10,5031,6,0.09497308730000001,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
53,192.168.1.3,192.168.1.1,udp,61,225,1740582508.742181,COwgEB2eARKRVKY8Z9,58790,SF,True,True,0,Dd,1,89,1,253,17,0.0023739338000000002,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
53,192.168.1.3,192.168.1.1,udp,61,225,1740506764.387782,CPbrWC5Ieyar0oty9,33714,SF,True,True,0,Dd,1,89,1,253,17,0.0023739338000000002,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
53,192.168.1.3,192.168.1.1,udp,63,389,1740120995.510594,CBoOPZ1kXP8h6UC7uh,40575,SF,True,True,0,Dd,1,91,1,417,17,0.0024211407000000002,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
53,192.168.1.3,192.168.1.1,udp,63,389,1740508908.00385,CfYN7E4GmA2tfGWmNh,57021,SF,True,True,0,Dd,1,91,1,417,17,0.0024211407000000002,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,34.117.188.166,udp,3193,12233,1740511474.188036,CRK6n74dCoJOsle1Cd,48881,SF,True,False,0,Dd,8,3417,15,12653,17,0.14715695380000002,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
443,192.168.1.3,52.182.143.208,tcp,2780,5197,1740587932.514249,CUlwSR16Ivaj4Xfsy3,32928,SF,True,False,0,ShADdafF,11,3360,8,5621,6,0.1579759121,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
53,192.168.1.3,192.168.1.1,udp,56,113,1740118445.469027,CLUGen4FGntSXboAm1,60359,SF,True,True,0,Dd,1,84,1,141,17,0.0022850037,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,DNS
443,192.168.1.3,185.199.108.133,tcp,2111,4422,1740501239.809687,ClYdbs2BqCWppDjbwc,38696,SF,True,False,0,ShADadFRfRR,14,2787,11,5002,6,0.0563611984,dd34bd04d441f3698de6e1fa6aff7f77cd7c,fd34bd04d441f369,InRelease,104857600,HTTPS
