id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
192.168.1.6,46560,192.168.1.4,22,SSH,18.088622093200684,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,45548,192.168.1.1,53,udp,0.021745205,43,108,SF,1,1,0,Dd,1,71,1,136
192.168.1.4,54412,99.84.191.91,443,tcp,0.044632912,1818,6108,SF,1,0,0,ShADadFRf,10,2322,9,6584
192.168.1.4,55978,192.168.1.1,53,udp,0.001863956,45,110,SF,1,1,0,Dd,1,73,1,138
192.168.1.4,53310,23.194.131.11,443,udp,0.005092144,85,167,SF,1,1,0,Dd,1,113,1,195
192.168.1.6,41000,192.168.1.4,22,SSH,18.088222980499268,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.6,51060,192.168.1.4,22,SSH,18.09061288833618,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,56494,192.168.1.1,53,udp,13.33898902,1842,6405,SF,1,0,0,ShADadfF,12,2474,10,6929
192.168.1.4,45818,34.199.85.59,443,udp,0.06170392,2701,418,RSTO,1,0,0,ShADadfR,7,3073,6,738
192.168.1.4,55458,3.166.192.61,443,tcp,2.881514072,2461,5508,SF,1,0,0,ShADadFf,15,3249,13,6192
192.168.1.4,41310,142.251.179.113,443,udp,0.107795,7296,10306,SF,1,0,0,Dd,16,7744,18,10810
192.168.1.6,45686,192.168.1.4,22,SSH,18.13381004333496,1615,2086,SF,1,1,0,ShADadFf,17,2507,24,3342
192.168.1.4,51583,192.168.1.1,53,udp,0.009922981,60,112,SF,1,1,0,Dd,1,88,1,140
192.168.1.4,43042,3.213.224.199,443,tcp,11.93990707,53418,656292,SF,1,0,10136,ShADadgFRf,184,62970,293,671536
192.168.1.4,39230,192.168.1.1,53,udp,0.002711058,41,229,SF,1,1,0,Dd,1,69,1,257
192.168.1.4,39119,192.168.1.1,53,udp,0.02401495,51,154,SF,1,1,0,Dd,1,79,1,182
192.168.1.4,50932,192.168.1.1,53,udp,0.000516891,60,60,SF,1,1,0,Dd,1,88,1,88
192.168.1.6,38246,192.168.1.4,22,SSH,16.587262868881226,1655,2086,SF,1,1,0,ShADadFf,17,2547,22,3238
192.168.1.4,50779,192.168.1.1,53,udp,0.001512051,45,236,SF,1,1,0,Dd,1,73,1,264
192.168.1.4,59724,199.38.167.130,443,udp,0.102278948,5077,9466,SF,1,0,0,Dd,12,5413,13,9830
192.168.1.4,37441,192.168.1.1,53,udp,0.044195175,44,494,SF,1,1,0,Dd,1,72,1,522
192.168.1.4,57766,31.13.66.19,443,tcp,44.23016882,2948,78051,SF,1,0,0,ShADadFf,41,5088,67,81543
192.168.1.4,60646,192.168.1.1,53,udp,0.004627943,60,120,SF,1,1,0,Dd,1,88,1,148
192.168.1.6,47564,192.168.1.4,22,SSH,0.000427961,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,58924,172.253.62.94,443,tcp,60.06658697,1833,6349,SF,1,0,0,ShADadFf,12,2465,10,6877
192.168.1.4,45882,192.168.1.1,53,udp,0.185992956,50,307,SF,1,1,0,Dd,1,78,1,335
192.168.1.4,38742,146.75.30.109,443,udp,0,2736,4946,SF,0,0,0,Dd,5,2876,7,5142
192.168.1.4,50982,172.253.63.154,443,udp,0.001566887,60,121,SF,1,1,0,Dd,1,88,1,149
192.168.1.4,53379,192.168.1.1,53,udp,155.470211,2672,132106,SF,1,0,0,ShADadFf,67,6164,65,135494
192.168.1.4,51906,216.239.36.54,443,tcp,0.051645994,1835,13738,SF,1,0,0,ShADadFRf,14,2547,12,14370
192.168.1.4,33746,99.86.229.8,443,tcp,12.70769882,2434,60695,SF,1,0,0,ShADadFf,33,4158,42,62887
192.168.1.4,37292,104.90.96.237,443,tcp,120.2695289,2884,5292,SF,1,0,0,ShADadfF,22,4036,24,6548
192.168.1.4,59641,192.168.1.1,53,udp,0.003371,50,107,SF,1,1,0,Dd,1,78,1,135
192.168.1.4,38888,23.205.106.19,443,udp,3.205681086,2978,4614,SF,1,0,0,IIiiihhhIHHH,10,3506,9,5090
192.168.1.4,44436,192.168.1.1,53,udp,0.045878887,48,472,SF,1,1,0,Dd,1,76,1,500
192.168.1.4,50001,192.168.1.1,53,udp,0.034693956,48,130,SF,1,1,0,Dd,1,76,1,158
192.168.1.4,54179,192.168.1.1,53,udp,0.046444893,48,444,SF,1,1,0,Dd,1,76,1,472
192.168.1.4,48769,192.168.1.1,53,udp,0.012584925,56,101,SF,1,1,0,Dd,1,84,1,129
192.168.1.4,33156,23.205.105.62,443,udp,0.01586318,49,405,SF,1,1,0,IIiiihhhIHHhH,1,77,1,433
192.168.1.4,41815,192.168.1.1,53,udp,30.1116128,3763,5304,SF,1,0,0,ShADadFRf,19,4735,17,6196
192.168.1.4,50729,52.85.132.46,443,udp,0.061120033,2865,8547,SF,1,0,0,Dd,8,3089,10,8827
192.168.1.4,49140,142.251.16.156,443,tcp,3.831339836,2633,6951,SF,1,0,0,ShADadFf,17,3525,17,7843
192.168.1.4,46996,172.253.115.132,443,udp,0.068408012,43,127,SF,1,1,0,Dd,1,71,1,155
192.168.1.4,38640,132.145.172.253,443,udp,60.21809292,1865,6351,SF,1,0,0,ShADadFf,11,2445,9,6827
192.168.1.6,34674,192.168.1.4,22,SSH,18.08989715576172,1639,2086,SF,1,1,0,ShADadFf,17,2531,22,3238
192.168.1.4,51856,35.71.139.29,443,tcp,42.83758998,1819,5695,SF,1,0,0,ShADadtFf,13,2515,11,7418
192.168.1.6,47432,192.168.1.4,22,SSH,0.000838041,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.6,53340,192.168.1.4,22,SSH,18.089608907699585,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,37506,23.205.105.36,443,udp,0.084603071,4086,67786,SF,1,0,0,Dd,35,5066,63,69550
192.168.1.4,37872,3.93.156.155,443,tcp,5.741440058,5606,5238,SF,1,0,0,ShADadFf,16,6446,13,5922
192.168.1.4,37295,192.168.1.1,53,udp,0.011852026,52,114,SF,1,1,0,Dd,1,80,1,142
192.168.1.4,48379,192.168.1.1,53,udp,0.043399096,54,154,SF,1,1,0,Dd,1,82,1,182
192.168.1.4,33223,192.168.1.1,53,udp,0.107629061,48,266,SF,1,1,0,Dd,1,76,1,294
192.168.1.4,46031,192.168.1.1,53,udp,0.001384974,55,119,SF,1,1,0,Dd,1,83,1,147
192.168.1.4,54227,192.168.1.1,53,udp,0.020381927,43,320,SF,1,1,0,Dd,1,71,1,348
192.168.1.4,46869,192.168.1.1,53,udp,0.009351969,53,113,SF,1,1,0,Dd,1,81,1,141
192.168.1.6,36344,192.168.1.4,22,SSH,18.08827996253968,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,58940,172.64.149.180,443,udp,0.107754946,61,360,SF,1,1,0,Dd,1,89,1,388
192.168.1.4,44608,172.253.122.97,443,udp,0.018151045,46,443,SF,1,1,0,Dd,1,74,1,471
192.168.1.4,58108,192.168.1.1,53,udp,0.022016048,43,240,SF,1,1,0,Dd,1,71,1,268
192.168.1.6,43036,192.168.1.4,22,SSH,18.09327006340027,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,34041,192.168.1.1,53,udp,0.274908066,52,114,SF,1,1,0,Dd,1,80,1,142
192.168.1.4,45102,172.253.63.95,443,udp,0.005220175,41,223,SF,1,1,0,Dd,1,69,1,251
192.168.1.6,43552,192.168.1.4,22,SSH,18.08944010734558,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,56908,192.168.1.1,53,udp,0.029659986,45,441,SF,1,1,0,Dd,1,73,1,469
192.168.1.4,47106,172.64.155.73,443,tcp,10.08044791,2607,6959,SF,1,0,0,ShADadfF,15,3395,16,7799
192.168.1.4,39136,192.168.1.1,53,udp,0.002104998,41,206,SF,1,1,0,Dd,1,69,1,234
192.168.1.4,45709,192.168.1.1,53,udp,60.112993,2572,9978,SF,1,0,0,ShADadFf,18,3516,17,10870
192.168.1.4,39836,104.90.28.239,443,tcp,121.8844309,3594,296942,SF,1,0,0,ShADadfF,124,10050,204,307558
192.168.1.6,53750,192.168.1.4,22,SSH,18.08925700187683,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,58164,104.17.208.240,443,tcp,108.3550811,2647,13733,SF,1,0,0,ShADadFf,22,3799,23,14937
192.168.1.6,46494,192.168.1.4,22,SSH,0.000430822,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.6,36706,192.168.1.4,22,SSH,18.08926010131836,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,46022,192.168.1.1,53,udp,0.056282043,3987,8582,SF,1,0,0,IIiishhHH,6,4155,9,8834
192.168.1.4,36573,192.168.1.1,53,udp,421.501837,2422,5154,SF,1,0,0,ShADadFf,27,3834,24,6410
192.168.1.6,33714,192.168.1.4,22,SSH,16.59145498275757,1639,2086,SF,1,1,0,ShADadFf,17,2531,22,3238
192.168.1.6,59978,192.168.1.4,22,SSH,0.005661964,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,33461,172.253.122.100,443,udp,2.24938798,2485,5426,SF,1,0,0,IIiiiIhhhHHhH,19,3481,16,6266
192.168.1.6,45940,192.168.1.4,22,SSH,18.12240195274353,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.6,55384,192.168.1.4,22,SSH,16.58536696434021,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,55286,37.157.6.232,443,udp,0.009355068,45,412,SF,1,1,0,Dd,1,73,1,440
192.168.1.4,56986,192.168.1.1,53,udp,0.003195047,48,107,SF,1,1,0,Dd,1,76,1,135
192.168.1.6,60816,192.168.1.4,22,SSH,0.00067091,58,250,SF,1,1,0,Dd,1,86,1,278
192.168.1.4,36094,185.125.190.96,80,HTTP,18.08908700942993,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,58203,142.251.16.156,443,udp,0.053896904,99,566,SF,1,1,0,Dd,1,127,1,594
192.168.1.6,53690,192.168.1.4,22,SSH,18.09071493148804,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,37694,192.168.1.1,53,udp,0.06734395,50,569,SF,1,1,0,Dd,1,78,1,597
192.168.1.4,55690,174.137.133.32,443,tcp,0.057787895,2893,2295,RSTO,1,0,0,ShADadfR,8,3317,9,2771
192.168.1.4,49352,192.168.1.1,53,DNS,0.001729012,58,562,SF,1,1,0,Dd,1,86,1,590
192.168.1.4,44837,192.168.1.1,53,udp,0.036588907,46,318,SF,1,1,0,Dd,1,74,1,346
192.168.1.4,38498,192.168.1.1,53,udp,0.00773716,49,259,SF,1,1,0,Dd,1,77,1,287
192.168.1.4,49384,104.18.3.179,443,tcp,57.16941309,13829,16878,SF,1,0,0,ShADadFf,34,15605,35,18718
192.168.1.4,53126,31.13.71.36,443,tcp,62.034585,2649,3090,SF,1,0,0,ShADadFf,14,3385,13,3774
192.168.1.4,42077,192.168.1.1,53,udp,0.00162816,56,117,SF,1,1,0,Dd,1,84,1,145
192.168.1.6,53802,192.168.1.4,22,SSH,18.08761001,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,43744,23.213.74.28,443,tcp,120.7337821,2774,133667,SF,1,0,0,ShADadfF,66,6214,110,139395
192.168.1.4,35178,68.67.160.75,443,udp,0,6603,52020,SF,0,0,0,Dd,43,7807,64,53812
