id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,uid,id.orig_p,rtt,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,ts_delta,acks,percent_lost,client_initial_dcid,server_scid,validation_status,trans_depth,method,request_body_len,response_body_len,status_code,status_msg,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,extracted_cutoff,label
443,192.168.1.3,13.107.42.16,udp,52,112,1740119512.925989,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Covr9y10CRpyTpgiSg,55814,0.019567966500000002,S0,False,False,0,D,1,76,0,0,17,0.0,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
443,192.168.1.3,13.107.42.16,udp,52,112,1740118608.221635,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Covr9y10CRpyTpgiSg,55814,0.019567966500000002,S0,False,False,0,D,1,76,0,0,17,0.0,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
443,192.168.1.3,13.107.42.16,udp,52,112,1740119328.346431,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Covr9y10CRpyTpgiSg,55814,0.019567966500000002,S0,False,False,0,D,1,76,0,0,17,0.0,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
443,192.168.1.3,13.107.42.16,udp,52,112,1740118848.320485,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Covr9y10CRpyTpgiSg,55814,0.019567966500000002,S0,False,False,0,D,1,76,0,0,17,0.0,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,52,112,1740119179.512546,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CNtSpSie0KGl0oJ7g,36141,0.019567966500000002,SF,True,True,0,Dd,1,80,1,140,17,0.016546964600000002,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,52,112,1740119148.337523,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CNtSpSie0KGl0oJ7g,36141,0.019567966500000002,SF,True,True,0,Dd,1,80,1,140,17,0.016546964600000002,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
443,192.168.1.3,142.251.167.103,udp,52,112,1740118140.131737,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CqJANC1iiVE3dogpll,48413,0.019567966500000002,SF,True,True,0,Dd,1,80,1,140,17,0.016546964600000002,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
443,192.168.1.3,142.251.167.103,udp,52,112,1740117947.876753,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CqJANC1iiVE3dogpll,48413,0.019567966500000002,SF,True,True,0,Dd,1,80,1,140,17,0.016546964600000002,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,224,1740119195.511556,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKSo0QyifHK0bStsb,43175,0.019567966500000002,SF,True,True,0,Dd,1,91,1,252,17,0.0038630962,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,224,1740118938.069138,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKSo0QyifHK0bStsb,43175,0.019567966500000002,SF,True,True,0,Dd,1,91,1,252,17,0.0058970451000000005,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,224,1740119643.075975,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKSo0QyifHK0bStsb,43175,0.019567966500000002,SF,True,True,0,Dd,1,91,1,252,17,0.0053811073,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,224,1740118014.171931,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKSo0QyifHK0bStsb,43175,0.019567966500000002,SF,True,True,0,Dd,1,91,1,252,17,0.0283269882,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,224,1740119628.352176,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKSo0QyifHK0bStsb,43175,0.019567966500000002,SF,True,True,0,Dd,1,91,1,252,17,0.0283269882,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118270.393704,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CbTzSB4o0b1BnhpKb6,54322,0.019567966500000002,REJ,True,True,0,Sr,1,60,1,40,6,0.0004620552,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740117932.740405,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CbTzSB4o0b1BnhpKb6,54322,0.019567966500000002,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118788.320099,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CbTzSB4o0b1BnhpKb6,54322,0.019567966500000002,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119675.543432,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CRIG0z4AEDvNaUP5Z3,56044,0.019567966500000002,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740118968.328067,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CRIG0z4AEDvNaUP5Z3,56044,0.019567966500000002,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740118308.095205,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CRIG0z4AEDvNaUP5Z3,56044,0.019567966500000002,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740118715.510229,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119208.340776,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119028.329221,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119328.346431,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119508.349664,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119448.348292,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119568.351007,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0060629845,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740118621.572545,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0140738487,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740119268.341435,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0140738487,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,0,0,1740118653.92523,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CKLcGu1NsjPDNAP2Di,36400,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0054380894,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118314.312886,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Crv8mUgWR7r1LvNGd,50700,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0002698898,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
9092,192.168.1.3,192.168.1.4,tcp,0,0,1740118308.095205,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Crv8mUgWR7r1LvNGd,50700,0.0022368431,REJ,True,True,0,Sr,1,60,1,40,6,0.0002698898,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
1900,192.168.1.3,239.255.255.250,udp,688,0,1740118817.205378,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Cco8Q1iLdU7xYNzu1,58797,0.0022368431,S0,True,False,0,D,4,800,0,0,17,3.0034060478,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
1900,192.168.1.3,239.255.255.250,udp,688,0,1740119688.363378,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,Cco8Q1iLdU7xYNzu1,58797,0.0022368431,S0,True,False,0,D,4,800,0,0,17,3.0034060478,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,389,1740119795.509523,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CbcIez31yaQjcekDGd,47170,0.0022368431,SF,True,True,0,Dd,1,91,1,417,17,0.0038981438,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,389,1740119088.334748,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CbcIez31yaQjcekDGd,47170,0.0022368431,SF,True,True,0,Dd,1,91,1,417,17,0.0038981438,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,63,389,1740118848.320485,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CbcIez31yaQjcekDGd,47170,0.0022368431,SF,True,True,0,Dd,1,91,1,417,17,0.0038981438,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740119364.52389,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CxR9TtvXZg2Mu5Vcf,45870,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0018460751,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740118127.959023,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CxR9TtvXZg2Mu5Vcf,45870,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0018460751,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740118135.499984,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CxR9TtvXZg2Mu5Vcf,45870,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740119868.371538,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CxR9TtvXZg2Mu5Vcf,45870,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740117958.671853,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CvJqFuDrd64x0Mox3,37624,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740118488.179072,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CvJqFuDrd64x0Mox3,37624,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740119508.349664,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CvJqFuDrd64x0Mox3,37624,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740119852.527714,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CLUMKS2ekQrrkfzIQl,34786,0.0022368431,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
53,192.168.1.3,192.168.1.1,udp,62,396,1740119564.899521,56887,36603049,0,56889,0.0020329952,9,5,1,63,50,2,0,0,68,0,0,CmTUqjRgbtAC6ykn3,49820,0.0019907951,SF,True,True,0,Dd,1,90,1,424,17,0.0080180168,900.0021398067,1913,7.4751698902,7621c9ee35587231,f621c9ee35587231,ok,1,GET,0,0,204,No Content,False,1858,0,0,False,False,0
